date,session_date,setup_detected,direction,poi_type,sweep_level,pattern_candle_a,pattern_candle_b,entry_price,stop_loss,take_profit,sl_distance,tp_distance,trader_agrees,actual_result,hypothetical_pnl,notes
2026-05-04T15:29:57.553065,2025-07-16,True,SHORT,BEARISH,44254.2,,,44228.9,44288.9,44108.9,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:57.592093,2025-07-17,True,SHORT,BEARISH,44494.4,,,44521.0,44581.0,44401.0,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:57.632088,2025-07-18,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.659865,2025-07-20,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.697145,2025-07-21,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.733322,2025-07-22,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.779601,2025-07-23,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.823795,2025-07-24,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.866720,2025-07-25,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.899417,2025-07-27,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.940874,2025-07-28,True,LONG,BULLISH,44801.9,,,44815.5,44755.5,44935.5,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:57.981944,2025-07-29,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.022895,2025-07-30,True,LONG,BULLISH,44656.1,,,44745.7,44676.2,44884.7,69.5,139.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:58.063897,2025-07-31,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.100187,2025-08-01,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.127493,2025-08-03,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.201795,2025-08-04,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.252245,2025-08-05,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.287762,2025-08-06,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.324974,2025-08-07,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.361650,2025-08-08,True,SHORT,BEARISH,44233.5,,,44204.9,44264.9,44084.9,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:58.392109,2025-08-10,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.427955,2025-08-11,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.469818,2025-08-12,True,SHORT,BEARISH,44479.4,,,44453.0,44513.0,44333.0,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:58.516242,2025-08-13,True,LONG,BULLISH,44742.1,,,44875.9,44808.0,45011.7,67.9,135.8,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:58.558431,2025-08-14,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.606399,2025-08-15,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.637905,2025-08-17,False,,,,,,,,,,,,,,No valid signal from strategy
